clnt_tenure_yr,bal,completion,count
2,27397.75,False,1
2,27397.75,True,1
2,29146.95,False,1
2,30085.17,True,1
2,30098.53,True,1
2,30243.54,False,1
2,30630.71,False,2
2,30852.01,True,1
2,31481.24,False,6
2,31481.24,True,2
2,35724.66,False,1
2,37519.34,True,1
2,39764.64,False,4
2,39764.64,True,1
2,44576.08,False,1
2,46956.5,True,1
2,51466.09,False,2
2,54325.41,True,1
2,54998.82,True,1
2,58424.56,False,1
2,61945.22,True,1
2,63355.62,False,1
2,63355.62,True,1
2,72768.98,False,1
2,93812.13,True,1
2,100004.11,False,1
2,100004.11,True,1
2,108100.93,True,1
2,159163.97,False,2
2,159163.97,True,1
2,192676.31,True,1
2,376937.41,False,2
2,408333.36,False,3
2,425519.13,False,3
2,425519.13,True,2
2,771748.76,False,1
3,23851.71,True,1
3,24082.78,True,1
3,24106.99,False,1
3,24793.87,False,1
3,25100.84,False,1
3,25277.46,False,1
3,26004.29,True,1
3,26065.92,True,1
3,26239.62,True,1
3,26431.3,True,1
3,26515.11,True,1
3,26825.34,False,1
3,26825.34,True,1
3,27110.82,False,1
3,27183.35,False,1
3,27263.28,True,1
3,27276.04,True,1
3,27637.97,False,1
3,27645.83,False,1
3,27761.38,True,1
3,27796.62,True,1
3,27843.08,False,2
3,27925.52,True,2
3,28006.22,True,1
3,28513.9,False,1
3,28513.9,True,1
3,28654.67,True,1
3,28732.4,True,1
3,29445.97,True,1
3,29971.54,True,1
3,30054.24,True,1
3,30375.71,False,1
3,30662.32,True,1
3,31307.52,True,1
3,31332.57,False,1
3,31339.24,False,1
3,31339.24,True,1
3,32033.58,False,1
3,32682.04,False,1
3,33478.59,False,2
3,33478.59,True,1
3,33652.92,True,1
3,33652.98,False,2
3,34772.54,False,1
3,34772.54,True,1
3,34880.49,True,1
3,35213.01,False,1
3,35866.51,True,1
3,36661.37,True,1
3,36928.29,False,1
3,36947.72,True,1
3,36966.28,True,1
3,37462.54,True,1
3,37600.96,False,2
3,37678.51,False,1
