clnt_tenure_yr,completion,count
2,False,14
2,True,28
3,False,105
3,True,142
4,False,1019
4,True,1364
5,False,1385
5,True,2178
6,False,1500
6,True,2068
7,False,1036
7,True,1518
8,False,868
8,True,1289
9,False,700
9,True,994
10,False,632
10,True,876
11,False,616
11,True,837
12,False,746
12,True,1051
13,False,763
13,True,1109
14,False,833
14,True,1103
15,False,1057
15,True,1361
16,False,651
16,True,790
17,False,324
17,True,414
18,False,283
18,True,370
19,False,258
19,True,367
20,False,335
20,True,498
21,False,530
21,True,771
22,False,323
22,True,491
23,False,289
23,True,428
24,False,179
24,True,331
25,False,95
25,True,193
26,False,192
26,True,218
27,False,164
27,True,219
28,False,99
28,True,179
29,False,78
29,True,91
30,False,77
30,True,121
31,False,30
31,True,49
32,False,52
32,True,69
33,False,60
33,True,78
34,False,49
34,True,72
35,False,26
35,True,46
36,False,6
36,True,18
37,False,6
37,True,15
38,False,5
38,True,4
39,False,3
39,True,8
40,False,3
40,True,5
42,True,1
43,True,3
44,True,2
46,False,1
46,True,2
47,False,2
47,True,2
48,False,4
48,True,5
49,False,3
50,False,1
50,True,2
51,False,1
51,True,3
55,False,2
55,True,2
