clnt_tenure_yr,gendr,completion,count
2,F,False,6
2,F,True,4
2,M,False,4
2,M,True,7
2,Other,False,39
2,Other,True,36
3,F,False,36
3,F,True,39
3,M,False,28
3,M,True,22
3,Other,False,163
3,Other,True,182
4,F,False,245
4,F,True,199
4,M,False,185
4,M,True,204
4,Other,False,1665
4,Other,True,1962
5,F,False,391
5,F,True,401
5,M,False,378
5,M,True,425
5,Other,False,2180
5,Other,True,2771
6,F,False,262
6,F,True,266
6,M,False,236
6,M,True,267
6,Other,False,2610
6,Other,True,3105
7,F,False,117
7,F,True,104
7,M,False,136
7,M,True,166
7,Other,False,1954
7,Other,True,2331
8,F,False,442
8,F,True,473
8,M,False,409
8,M,True,569
8,Other,False,895
8,Other,True,1060
9,F,False,706
9,F,True,766
9,M,False,718
9,M,True,848
9,Other,False,85
9,Other,True,88
10,F,False,617
10,F,True,672
10,M,False,620
10,M,True,724
10,Other,False,53
10,Other,True,60
11,F,False,604
11,F,True,661
11,M,False,617
11,M,True,741
11,Other,False,57
11,Other,True,66
12,F,False,761
12,F,True,854
12,M,False,745
12,M,True,901
12,Other,False,57
12,Other,True,57
13,F,False,743
13,F,True,838
13,M,False,766
13,M,True,960
13,Other,False,77
13,Other,True,85
14,F,False,891
14,F,True,894
14,M,False,799
14,M,True,876
14,Other,False,56
14,Other,True,68
15,F,False,992
15,F,True,1059
15,M,False,1069
15,M,True,1152
15,Other,False,104
15,Other,True,86
16,F,False,652
16,F,True,661
16,M,False,605
16,M,True,660
16,Other,False,47
16,Other,True,39
17,F,False,306
17,F,True,293
17,M,False,376
17,M,True,358
17,Other,False,46
17,Other,True,38
18,F,False,274
18,F,True,279
18,M,False,297
18,M,True,327
18,Other,False,42
18,Other,True,46
19,F,False,229
19,F,True,254
19,M,False,310
19,M,True,330
19,Other,False,34
19,Other,True,36
20,F,False,375
20,F,True,360
20,M,False,355
20,M,True,412
20,Other,False,54
20,Other,True,45
21,F,False,504
21,F,True,518
21,M,False,552
21,M,True,640
21,Other,False,61
21,Other,True,84
22,F,False,346
22,F,True,360
22,M,False,313
22,M,True,397
22,Other,False,51
22,Other,True,64
23,F,False,294
23,F,True,350
23,M,False,290
23,M,True,339
23,Other,False,52
23,Other,True,49
24,F,False,210
24,F,True,261
24,M,False,204
24,M,True,232
24,Other,False,18
24,Other,True,23
25,F,False,106
25,F,True,110
25,M,False,99
25,M,True,168
25,Other,False,7
25,Other,True,17
26,F,False,207
26,F,True,180
26,M,False,162
26,M,True,161
26,Other,False,16
26,Other,True,24
27,F,False,185
27,F,True,163
27,M,False,159
27,M,True,191
27,Other,False,13
27,Other,True,15
28,F,False,133
28,F,True,108
28,M,False,132
28,M,True,165
28,Other,False,14
28,Other,True,18
29,F,False,86
29,F,True,81
29,M,False,78
29,M,True,70
29,Other,False,3
29,Other,True,7
30,F,False,80
30,F,True,72
30,M,False,88
30,M,True,96
30,Other,False,7
30,Other,True,10
31,F,False,33
31,F,True,28
31,M,False,42
31,M,True,54
31,Other,False,5
31,Other,True,5
32,F,False,43
32,F,True,40
32,M,False,56
32,M,True,64
32,Other,False,3
32,Other,True,4
33,F,False,60
33,F,True,58
33,M,False,44
33,M,True,51
33,Other,False,9
33,Other,True,7
34,F,False,45
34,F,True,61
34,M,False,40
34,M,True,46
34,Other,False,5
34,Other,True,4
35,F,False,18
35,F,True,39
35,M,False,29
35,M,True,32
35,Other,False,4
35,Other,True,3
36,F,False,4
36,F,True,9
36,M,False,18
36,M,True,14
37,F,False,9
37,F,True,12
37,M,False,11
37,M,True,11
37,Other,False,1
37,Other,True,1
38,F,False,8
38,F,True,10
38,M,False,11
38,M,True,5
39,F,False,1
39,F,True,5
39,M,False,6
39,M,True,7
40,F,True,2
40,M,False,2
40,M,True,4
40,Other,False,1
40,Other,True,1
41,F,False,1
41,F,True,1
42,F,False,1
42,F,True,2
42,M,False,1
42,Other,False,1
43,M,True,4
44,F,False,1
44,M,True,2
45,F,False,2
46,F,True,1
46,M,False,4
46,M,True,4
47,F,False,2
47,F,True,2
47,Other,True,1
48,F,False,3
48,F,True,1
48,M,False,4
48,M,True,5
49,M,False,3
49,M,True,2
50,F,False,2
50,F,True,2
50,M,True,1
51,F,False,1
51,F,True,3
52,F,False,2
52,F,True,1
54,F,False,2
55,F,False,1
55,M,False,2
55,M,True,2
55,Other,False,1
