clnt_tenure_yr,gendr,completion,count
2,F,False,5
2,F,True,2
2,M,False,2
2,M,True,4
2,Other,False,27
2,Other,True,14
3,F,False,16
3,F,True,14
3,M,False,10
3,M,True,10
3,Other,False,89
3,Other,True,84
4,F,False,122
4,F,True,98
4,M,False,90
4,M,True,93
4,Other,False,805
4,Other,True,877
5,F,False,201
5,F,True,162
5,M,False,178
5,M,True,177
5,Other,False,1101
5,Other,True,1177
6,F,False,137
6,F,True,118
6,M,False,101
6,M,True,119
6,Other,False,1288
6,Other,True,1430
7,F,False,57
7,F,True,42
7,M,False,84
7,M,True,81
7,Other,False,970
7,Other,True,1027
8,F,False,211
8,F,True,207
8,M,False,193
8,M,True,225
8,Other,False,431
8,Other,True,433
9,F,False,340
9,F,True,321
9,M,False,393
9,M,True,384
9,Other,False,41
9,Other,True,45
10,F,False,305
10,F,True,297
10,M,False,307
10,M,True,287
10,Other,False,22
10,Other,True,26
11,F,False,265
11,F,True,299
11,M,False,324
11,M,True,346
11,Other,False,32
11,Other,True,30
12,F,False,367
12,F,True,378
12,M,False,375
12,M,True,405
12,Other,False,31
12,Other,True,29
13,F,False,382
13,F,True,387
13,M,False,364
13,M,True,404
13,Other,False,31
13,Other,True,34
14,F,False,421
14,F,True,408
14,M,False,408
14,M,True,368
14,Other,False,24
14,Other,True,27
15,F,False,495
15,F,True,448
15,M,False,509
15,M,True,506
15,Other,False,56
15,Other,True,40
16,F,False,291
16,F,True,303
16,M,False,299
16,M,True,292
16,Other,False,27
16,Other,True,17
17,F,False,158
17,F,True,129
17,M,False,200
17,M,True,150
17,Other,False,27
17,Other,True,16
18,F,False,131
18,F,True,137
18,M,False,158
18,M,True,146
18,Other,False,16
18,Other,True,25
19,F,False,125
19,F,True,119
19,M,False,152
19,M,True,147
19,Other,False,13
19,Other,True,13
20,F,False,190
20,F,True,144
20,M,False,202
20,M,True,182
20,Other,False,26
20,Other,True,26
21,F,False,240
21,F,True,193
21,M,False,280
21,M,True,291
21,Other,False,27
21,Other,True,30
22,F,False,172
22,F,True,154
22,M,False,172
22,M,True,174
22,Other,False,22
22,Other,True,25
23,F,False,137
23,F,True,153
23,M,False,159
23,M,True,156
23,Other,False,28
23,Other,True,25
24,F,False,120
24,F,True,106
24,M,False,101
24,M,True,94
24,Other,False,8
24,Other,True,12
25,F,False,56
25,F,True,42
25,M,False,48
25,M,True,62
25,Other,False,6
25,Other,True,8
26,F,False,109
26,F,True,75
26,M,False,67
26,M,True,79
26,Other,False,4
26,Other,True,6
27,F,False,91
27,F,True,77
27,M,False,73
27,M,True,81
27,Other,False,9
27,Other,True,12
28,F,False,75
28,F,True,43
28,M,False,84
28,M,True,73
28,Other,False,10
28,Other,True,7
29,F,False,45
29,F,True,39
29,M,False,34
29,M,True,32
29,Other,False,1
29,Other,True,5
30,F,False,39
30,F,True,26
30,M,False,43
30,M,True,42
30,Other,False,5
30,Other,True,1
31,F,False,16
31,F,True,15
31,M,False,29
31,M,True,27
31,Other,True,1
32,F,False,20
32,F,True,17
32,M,False,28
32,M,True,22
32,Other,False,1
32,Other,True,1
33,F,False,20
33,F,True,20
33,M,False,22
33,M,True,19
33,Other,False,5
33,Other,True,5
34,F,False,19
34,F,True,22
34,M,False,18
34,M,True,16
34,Other,False,2
34,Other,True,3
35,F,False,7
35,F,True,14
35,M,False,15
35,M,True,17
36,F,False,2
36,M,False,12
36,M,True,7
37,F,False,9
37,F,True,6
37,M,False,5
37,M,True,3
37,Other,True,1
38,F,False,6
38,F,True,8
38,M,False,7
38,M,True,4
39,M,False,3
39,M,True,5
40,M,True,2
41,F,False,1
41,F,True,1
42,F,False,1
42,F,True,1
42,M,False,1
42,Other,False,1
43,M,True,1
44,F,False,1
45,F,False,2
46,F,True,1
46,M,False,3
46,M,True,2
47,Other,True,1
48,F,False,2
48,M,False,1
48,M,True,1
49,M,True,2
50,F,True,1
50,M,True,1
52,F,False,2
52,F,True,1
54,F,False,2
55,F,False,1
55,M,True,1
