total_navigation,completion,count
0,False,18989
0,True,15589
1,False,3760
1,True,1093
2,False,3100
2,True,449
3,False,3340
3,True,14530
4,False,1289
4,True,2331
5,False,795
5,True,1172
6,False,504
6,True,691
7,False,293
7,True,348
8,False,155
8,True,242
9,False,112
9,True,126
10,False,74
10,True,65
11,False,27
11,True,29
12,False,28
12,True,32
13,False,16
13,True,19
14,False,15
14,True,14
15,False,10
15,True,6
16,False,3
16,True,4
17,False,3
17,True,6
18,False,6
18,True,3
19,True,4
20,False,3
20,True,2
21,False,3
21,True,4
23,False,1
24,True,7
25,False,2
25,True,1
26,True,1
27,False,2
28,False,1
32,True,1
47,True,1
48,False,1
55,True,1
