navigations_bt_start_last,completion,count
1,True,761
2,False,4706
2,True,124
3,False,4164
3,True,66
4,False,2032
4,True,200
5,False,2328
5,True,9465
6,False,986
6,True,1615
7,False,624
7,True,1614
8,False,423
8,True,709
9,False,272
9,True,673
10,False,185
10,True,275
11,False,145
11,True,187
12,False,91
12,True,143
13,False,58
13,True,82
14,False,35
14,True,53
15,False,25
15,True,39
16,False,26
16,True,22
17,False,13
17,True,7
18,False,12
18,True,11
19,False,4
19,True,8
20,False,7
20,True,6
21,False,4
21,True,5
22,False,1
22,True,2
23,False,4
23,True,2
25,False,2
26,False,1
26,True,1
27,False,1
28,False,1
28,True,1
29,True,3
31,True,1
33,False,1
41,False,3
41,True,2
65,True,1
73,True,2
81,True,1
