total_navigation,last_step,count
0,confirm,15589
0,start,13257
0,step_1,2807
0,step_2,1158
0,step_3,1767
1,confirm,1093
1,start,1113
1,step_1,2374
1,step_2,96
1,step_3,177
2,confirm,449
2,start,1760
2,step_1,378
2,step_2,912
2,step_3,50
3,confirm,14530
3,start,1370
3,step_1,390
3,step_2,280
3,step_3,1300
4,confirm,2331
4,start,608
4,step_1,260
4,step_2,142
4,step_3,279
5,confirm,1172
5,start,385
5,step_1,156
5,step_2,73
5,step_3,181
6,confirm,691
6,start,286
6,step_1,97
6,step_2,39
6,step_3,82
7,confirm,348
7,start,132
7,step_1,68
7,step_2,27
7,step_3,66
8,confirm,242
8,start,54
8,step_1,33
8,step_2,15
8,step_3,53
9,confirm,126
9,start,53
9,step_1,19
9,step_2,10
9,step_3,30
10,confirm,65
10,start,32
10,step_1,19
10,step_2,8
10,step_3,15
11,confirm,29
11,start,8
11,step_1,11
11,step_2,2
11,step_3,6
12,confirm,32
12,start,9
12,step_1,8
12,step_2,1
12,step_3,10
13,confirm,19
13,start,6
13,step_1,3
13,step_2,3
13,step_3,4
14,confirm,14
14,start,4
14,step_1,1
14,step_2,6
14,step_3,4
15,confirm,6
15,start,3
15,step_1,3
15,step_2,3
15,step_3,1
16,confirm,4
16,step_1,1
16,step_2,1
16,step_3,1
17,confirm,6
17,start,1
17,step_2,1
17,step_3,1
18,confirm,3
18,start,2
18,step_1,4
19,confirm,4
20,confirm,2
20,start,1
20,step_2,1
20,step_3,1
21,confirm,4
21,step_1,1
21,step_3,2
23,start,1
24,confirm,7
25,confirm,1
25,step_1,1
25,step_3,1
26,confirm,1
27,step_2,2
28,start,1
32,confirm,1
47,confirm,1
48,start,1
55,confirm,1
