navigations_bt_start_last,last_step,count
1,confirm,761
2,confirm,125
2,start,4659
2,step_1,18
2,step_2,10
2,step_3,18
3,confirm,63
3,start,2041
3,step_1,2091
3,step_2,21
3,step_3,14
4,confirm,194
4,start,597
4,step_1,412
4,step_2,995
4,step_3,34
5,confirm,9457
5,start,670
5,step_1,247
5,step_2,181
5,step_3,1238
6,confirm,1488
6,start,560
6,step_1,158
6,step_2,89
6,step_3,306
7,confirm,1351
7,start,312
7,step_1,265
7,step_2,42
7,step_3,268
8,confirm,610
8,start,257
8,step_1,88
8,step_2,45
8,step_3,132
9,confirm,600
9,start,147
9,step_1,79
9,step_2,28
9,step_3,91
10,confirm,228
10,start,118
10,step_1,54
10,step_2,15
10,step_3,45
11,confirm,168
11,start,80
11,step_1,33
11,step_2,11
11,step_3,40
12,confirm,128
12,start,63
12,step_1,17
12,step_2,6
12,step_3,20
13,confirm,68
13,start,39
13,step_1,10
13,step_2,4
13,step_3,19
14,confirm,45
14,start,24
14,step_1,11
14,step_2,4
14,step_3,4
15,confirm,33
15,start,16
15,step_1,5
15,step_2,2
15,step_3,8
16,confirm,15
16,start,18
16,step_1,5
16,step_2,3
16,step_3,7
17,confirm,7
17,start,9
17,step_1,1
17,step_2,2
17,step_3,1
18,confirm,10
18,start,11
18,step_1,1
18,step_3,1
19,confirm,7
19,start,3
19,step_1,1
19,step_3,1
20,confirm,6
20,start,5
20,step_1,1
20,step_3,1
21,confirm,4
21,start,3
21,step_1,1
21,step_3,1
22,confirm,2
22,start,1
23,confirm,2
23,start,2
23,step_1,1
23,step_2,1
25,start,2
26,confirm,1
26,start,1
27,start,1
28,confirm,1
28,step_3,1
29,confirm,3
31,confirm,1
33,step_2,1
41,confirm,2
41,start,1
41,step_1,2
65,step_1,1
73,confirm,2
81,confirm,1
